"nfeatures","n_pcs","resolution","silhouette","modularity"
500,5,0.2,0.385606091169244,0.547822274997057
500,5,0.22,0.385606091169244,0.547822274997057
500,5,0.24,0.385606091169244,0.547822274997057
500,5,0.26,0.385606091169244,0.547822274997057
500,5,0.28,0.385606091169244,0.547822274997057
500,5,0.3,0.385606091169244,0.547822274997057
500,5,0.32,0.387086431328734,0.55097583034146
500,5,0.34,0.387086431328734,0.55097583034146
500,5,0.36,0.377341093114955,0.565767354549768
500,5,0.38,0.377341093114955,0.565767354549768
500,5,0.4,0.338070718888814,0.591711361428203
500,5,0.42,0.338070718888814,0.591711361428203
500,5,0.44,0.338938100922543,0.592532147524822
500,5,0.46,0.338938100922543,0.592532147524822
500,5,0.48,0.338938100922543,0.592532147524822
500,5,0.5,0.338938100922543,0.592532147524822
500,5,0.52,0.31841591731648,0.609760283461908
500,5,0.54,0.31841591731648,0.609760283461908
500,5,0.56,0.31841591731648,0.609760283461908
500,5,0.58,0.31841591731648,0.609760283461908
500,5,0.6,0.31841591731648,0.609760283461908
500,5,0.62,0.31841591731648,0.609760283461908
500,5,0.64,0.31841591731648,0.609760283461908
500,5,0.66,0.31841591731648,0.609760283461908
500,5,0.68,0.31841591731648,0.609760283461908
500,5,0.7,0.31841591731648,0.609760283461908
500,5,0.72,0.31841591731648,0.609760283461908
500,5,0.74,0.31841591731648,0.609760283461908
500,5,0.76,0.31841591731648,0.609760283461908
500,5,0.78,0.31841591731648,0.609760283461908
500,5,0.8,0.31841591731648,0.609760283461908
500,5,0.82,0.31841591731648,0.609760283461908
500,5,0.84,0.31841591731648,0.609760283461908
500,5,0.86,0.31833485669643,0.61009629689531
500,5,0.88,0.31833485669643,0.61009629689531
500,5,0.9,0.31833485669643,0.61009629689531
500,5,0.92,0.31833485669643,0.61009629689531
500,5,0.94,0.31833485669643,0.61009629689531
500,5,0.96,0.31833485669643,0.61009629689531
500,5,0.98,0.31833485669643,0.61009629689531
500,5,1,0.288538208053617,0.590407449734745
550,5,0.2,0.396116395353558,0.556307909183862
550,5,0.22,0.396116395353558,0.556307909183862
550,5,0.24,0.398216607912697,0.557162289371391
550,5,0.26,0.398216607912697,0.557162289371391
550,5,0.28,0.398216607912697,0.557162289371391
550,5,0.3,0.398216607912697,0.557162289371391
550,5,0.32,0.3365932865337,0.599272534178701
550,5,0.34,0.3365932865337,0.599272534178701
550,5,0.36,0.3365932865337,0.599272534178701
550,5,0.38,0.3365932865337,0.599272534178701
550,5,0.4,0.326194193399068,0.629212318489785
550,5,0.42,0.326194193399068,0.629212318489785
550,5,0.44,0.326194193399068,0.629212318489785
550,5,0.46,0.326194193399068,0.629212318489785
550,5,0.48,0.326454076426835,0.629030543487084
550,5,0.5,0.326454076426835,0.629030543487084
550,5,0.52,0.326454076426835,0.629030543487084
550,5,0.54,0.326454076426835,0.629030543487084
550,5,0.56,0.326454076426835,0.629030543487084
550,5,0.58,0.326454076426835,0.629030543487084
550,5,0.6,0.326454076426835,0.629030543487084
550,5,0.62,0.326454076426835,0.629030543487084
550,5,0.64,0.326454076426835,0.629030543487084
550,5,0.66,0.326454076426835,0.629030543487084
550,5,0.68,0.326454076426835,0.629030543487084
550,5,0.7,0.326454076426835,0.629030543487084
550,5,0.72,0.326454076426835,0.629030543487084
550,5,0.74,0.326454076426835,0.629030543487084
550,5,0.76,0.326454076426835,0.629030543487084
550,5,0.78,0.326454076426835,0.629030543487084
550,5,0.8,0.326454076426835,0.629030543487084
550,5,0.82,0.326454076426835,0.629030543487084
550,5,0.84,0.30438076344913,0.612058601480225
550,5,0.86,0.30438076344913,0.612058601480225
